campaign_name,campaign_id,adset_name,adset_id,ad_name,ad_id,spend,impressions,clicks,ctr,cpc,date_start,date_stop,website_purchase_roas,spend_eur
4 JANUARY -  Elegant Pleated Dress - 1.58 - SINGLE PRODUCT,120214650470880719,STACK 2,120214650491030719,AD 1,120214650491050719,1.48,112,5,4.464286,0.296,2023-07-27,2025-03-18,,1.4207999999999998
4 JANUARY -  Elegant Pleated Dress - 1.58 - SINGLE PRODUCT,120214650470880719,STACK 1,120214650491010719,AD 2,120214650491060719,1.92,101,3,2.970297,0.64,2023-07-27,2025-03-18,,1.8432
4 JANUARY - Balaclava Hooded Jacket - 1.68 - SINGLE PRODUCT,120214650523560719,STACK 2,120214650523600719,AD 1,120214650523520719,2.54,275,7,2.545455,0.362857,2023-07-27,2025-03-18,,2.4384
4 JANUARY - Balaclava Hooded Jacket - 1.68 - SINGLE PRODUCT,120214650523560719,STACK 2,120214650523600719,AD 2,120214650572780719,12.07,1612,24,1.488834,0.502917,2023-07-27,2025-03-18,,11.5872
4 JANUARY - Balaclava Hooded Jacket - 1.68 - SINGLE PRODUCT,120214650523560719,BROAD 2,120214650576070719,AD 1,120214650576020719,2.42,291,5,1.718213,0.484,2023-07-27,2025-03-18,,2.3232
4 JANUARY - Balaclava Hooded Jacket - 1.68 - SINGLE PRODUCT,120214650523560719,BROAD 2,120214650576070719,AD 2,120214650576030719,0.04,13,0,0,,2023-07-27,2025-03-18,,0.0384
4 JANUARY - Balaclava Hooded Jacket - 1.68 - SINGLE PRODUCT,120214650523560719,STACK 1,120214650576080719,AD 1,120214650576040719,0.7,73,1,1.369863,0.7,2023-07-27,2025-03-18,,0.6719999999999999
4 JANUARY - Balaclava Hooded Jacket - 1.68 - SINGLE PRODUCT,120214650523560719,BROAD 1,120214650576060719,AD 2,120214650576050719,5.72,551,16,2.903811,0.3575,2023-07-27,2025-03-18,,5.491199999999999
4 JANUARY - Balaclava Hooded Jacket - 1.68 - SINGLE PRODUCT,120214650523560719,STACK 1,120214650576080719,AD 2,120214650576090719,1.34,75,1,1.333333,1.34,2023-07-27,2025-03-18,,1.2864
4 JANUARY - Balaclava Hooded Jacket - 1.68 - SINGLE PRODUCT,120214650523560719,BROAD 1,120214650576060719,AD 1,120214650576100719,1.36,149,2,1.342282,0.68,2023-07-27,2025-03-18,,1.3056
4 JANUARY - Stylish Quilted Winter Jacket  - 1.57- SINGLE PRODUCT,120214650589090719,STACK 1,120214650589070719,AD 1,120214650589080719,0.68,44,0,0,,2023-07-27,2025-03-18,,0.6528
4 JANUARY - Stylish Quilted Winter Jacket  - 1.57- SINGLE PRODUCT,120214650589090719,STACK 1,120214650589070719,AD 2,120214650640750719,9.47,433,26,6.004619,0.364231,2023-07-27,2025-03-18,,9.0912
4 JANUARY - Stylish Quilted Winter Jacket  - 1.57- SINGLE PRODUCT,120214650589090719,BROAD 1,120214650644010719,AD 1,120214650643980719,4.35,161,3,1.863354,1.45,2023-07-27,2025-03-18,,4.175999999999999
4 JANUARY - Stylish Quilted Winter Jacket  - 1.57- SINGLE PRODUCT,120214650589090719,BROAD 1,120214650644010719,AD 2,120214650643990719,28.6,1270,107,8.425197,0.26729,2023-07-27,2025-03-18,"[{'action_type': 'offsite_conversion.fb_pixel_purchase', 'value': '2.153846'}]",27.456
4 JANUARY - Stylish Quilted Winter Jacket  - 1.57- SINGLE PRODUCT,120214650589090719,STACK 2,120214650644000719,AD 2,120214650644020719,7.86,188,15,7.978723,0.524,2023-07-27,2025-03-18,,7.5456
4 JANUARY - Stylish Quilted Winter Jacket  - 1.57- SINGLE PRODUCT,120214650589090719,STACK 2,120214650644000719,AD 1,120214650644030719,2.96,150,8,5.333333,0.37,2023-07-27,2025-03-18,,2.8415999999999997
4 JANUARY - Stylish Quilted Winter Jacket  - 1.57- SINGLE PRODUCT,120214650589090719,BROAD 2,120214650644040719,AD 2,120214650644050719,22.32,798,48,6.015038,0.465,2023-07-27,2025-03-18,,21.4272
4 JANUARY - Stylish Quilted Winter Jacket  - 1.57- SINGLE PRODUCT,120214650589090719,BROAD 2,120214650644040719,AD 1,120214650644060719,1.78,67,5,7.462687,0.356,2023-07-27,2025-03-18,,1.7087999999999999
4 JANUARY - Stylish Winter Boots  - 1.58 - SINGLE PRODUCT,120214650657780719,STACK 2,120214650657730719,AD 1,120214650657800719,2.42,188,8,4.255319,0.3025,2023-07-27,2025-03-18,,2.3232
4 JANUARY - Stylish Winter Boots  - 1.58 - SINGLE PRODUCT,120214650657780719,STACK 2,120214650657730719,AD 2,120214650685260719,4.04,244,5,2.04918,0.808,2023-07-27,2025-03-18,,3.8784
4 JANUARY - Stylish Winter Boots  - 1.58 - SINGLE PRODUCT,120214650657780719,BROAD 2,120214650692090719,AD 2,120214650692020719,2.27,109,4,3.669725,0.5675,2023-07-27,2025-03-18,,2.1792
4 JANUARY - Stylish Winter Boots  - 1.58 - SINGLE PRODUCT,120214650657780719,STACK 1,120214650692070719,AD 1,120214650692030719,10.77,681,36,5.286344,0.299167,2023-07-27,2025-03-18,,10.3392
4 JANUARY - Stylish Winter Boots  - 1.58 - SINGLE PRODUCT,120214650657780719,BROAD 1,120214650692080719,AD 1,120214650692040719,4.1,301,9,2.990033,0.455556,2023-07-27,2025-03-18,,3.9359999999999995
4 JANUARY - Stylish Winter Boots  - 1.58 - SINGLE PRODUCT,120214650657780719,BROAD 2,120214650692090719,AD 1,120214650692050719,0.78,74,5,6.756757,0.156,2023-07-27,2025-03-18,,0.7488
