campaign_name,campaign_id,spend,impressions,clicks,ctr,cpc,date_start,date_stop,website_purchase_roas,spend_eur,ctr_pct,roas
14 MARCH - Orthopedic Shoes for Men - 1.46 - SINGLE PRODUCT - RELAUNCH,120218121233350719,21.32,5519,44,0.797246,0.484545,2023-07-27,2025-03-18,,20.4672,0.7972458778764269,0
17 MARCH - C36 ADS Collection (March 10) - COLLECTION - RELAUNCH,120218124364370719,247.13,21195,2242,10.577967,0.110227,2023-07-27,2025-03-18,"[{'action_type': 'offsite_conversion.fb_pixel_purchase', 'value': '0.314814'}]",237.2448,10.57796650153338,0
14 MARCH - Elegant Strapless Peplum Top - 1.52 - SINGLE PRODUCT,120218124524010719,22.61,887,21,2.367531,1.076667,2023-07-27,2025-03-18,,21.705599999999997,2.367531003382187,0
17 MARCH - Elegant Satin Long Sleeve Suit - 1.60 - SINGLE PRODUCT - RELAUNCH,120218124614120719,128.49,17330,1352,7.8015,0.095037,2023-07-27,2025-03-18,"[{'action_type': 'offsite_conversion.fb_pixel_purchase', 'value': '0.403611'}]",123.35040000000001,7.801500288517023,0
14 MARCH - Light and Comfortable Basket Shoes  - 1.57 - SINGLE PRODUCT,120218124776350719,22.45,2720,49,1.801471,0.458163,2023-07-27,2025-03-18,,21.552,1.801470588235294,0
14 MARCH - Elegant Tassel Dress - 1.55 - SINGLE PRODUCT,120218125239640719,22.62,1422,28,1.969058,0.807857,2023-07-27,2025-03-18,"[{'action_type': 'offsite_conversion.fb_pixel_purchase', 'value': '10.704244'}]",21.7152,1.969057665260197,0
15 MARCH - C37 ADS Collection (March 10) - COLLECTION,120218161042160719,41.86,2205,32,1.451247,1.308125,2023-07-27,2025-03-18,,40.1856,1.4512471655328798,0
15 MARCH - Elegant V-neck High-waisted Long Dress - 1.54 - SINGLE PRODUCT,120218163863280719,123.45,9839,621,6.311617,0.198792,2023-07-27,2025-03-18,,118.512,6.311617034251449,0
17 MARCH - Deep V-neck dress - 1.47 - SINGLE PRODUCT - RELAUNCH,120218164131850719,104.51,7537,467,6.196099,0.22379,2023-07-27,2025-03-18,,100.3296,6.196099243730927,0
15 MARCH - Elegant Floral Long Dress - 1.50 - SINGLE PRODUCT,120218164207210719,71.98,6312,477,7.557034,0.150901,2023-07-27,2025-03-18,"[{'action_type': 'offsite_conversion.fb_pixel_purchase', 'value': '0.646985'}]",69.1008,7.557034220532318,0
15 MARCH - Evening Bliss Hooded Sweater - 1.48 - SINGLE PRODUCT,120218164288220719,20.75,1207,18,1.491301,1.152778,2023-07-27,2025-03-18,,19.919999999999998,1.4913007456503728,0
15 MARCH - Elegant Tube Jumpsuit - 1.52 - SINGLE PRODUCT,120218164400250719,20.44,1194,47,3.936348,0.434894,2023-07-27,2025-03-18,,19.6224,3.936348408710218,0
16 MARCH - Classic Stitched Leather Orthopedic Shoe - 1.60 - SINGLE PRODUCT,120218194707060719,74.63,5541,270,4.872767,0.276407,2023-07-27,2025-03-18,,71.64479999999999,4.8727666486193835,0
16 MARCH - Winter Trench Coat - 1.79 - SINGLE PRODUCT,120218194819180719,81.94,3562,234,6.569343,0.350171,2023-07-27,2025-03-18,"[{'action_type': 'offsite_conversion.fb_pixel_purchase', 'value': '2.248597'}]",78.66239999999999,6.569343065693431,0
16 MARCH - Pullover Hooded Sweater - 0.00 - SINGLE PRODUCT,120218194959920719,24.2,2956,43,1.454668,0.562791,2023-07-27,2025-03-18,,23.232,1.4546684709066307,0
16 MARCH - Striped Pants - 1.45 - SINGLE PRODUCT,120218195075000719,78.98,3977,262,6.58788,0.30145,2023-07-27,2025-03-18,"[{'action_type': 'offsite_conversion.fb_pixel_purchase', 'value': '0.589643'}]",75.8208,6.587880311792809,0
16 MARCH - Casual T-Shirt with V-Neck - 1.46 - SINGLE PRODUCT,120218195231330719,24.83,1449,44,3.036577,0.564318,2023-07-27,2025-03-18,,23.836799999999997,3.036576949620428,0
17 MARCH - Waterproof Leather Shoes - 1.58 - SINGLE PRODUCT - RELAUNCH,120218215479180719,30.24,2247,72,3.204272,0.42,2023-07-27,2025-03-18,,29.030399999999997,3.204272363150868,0
17 MARCH - Statement Oversized Hoodie - 1.47 - SINGLE PRODUCT,120218215655180719,24.1,1984,40,2.016129,0.6025,2023-07-27,2025-03-18,,23.136,2.0161290322580645,0
