id,name,objective,status,start_time,budget_remaining,original_name,is_collection,is_single_product,collection_code,campaign_date
120217642940100719,6 MARCH - Comfortable and Flexible Clogs - 1.46 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-06T05:00:00+0000,5133,6 MARCH - Comfortable and Flexible Clogs - 1.46 - SINGLE PRODUCT,False,True,,6 MARCH
120217642701410719,6 MARCH - Leopard Print Blazer and Pants Set - 1.57 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-06T05:00:00+0000,5133,6 MARCH - Leopard Print Blazer and Pants Set - 1.57 - SINGLE PRODUCT,False,True,,6 MARCH
120217642541850719,6 MARCH - C30 ADS Collection (March 03) - COLLECTION,OUTCOME_SALES,PAUSED,2025-03-06T05:00:00+0000,10133,6 MARCH - C30 ADS Collection (March 03) - COLLECTION,True,False,C30,6 MARCH
120217642333690719,6 MARCH - Breathable Sport Shoes - 1.47 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-06T05:00:00+0000,5133,6 MARCH - Breathable Sport Shoes - 1.47 - SINGLE PRODUCT,False,True,,6 MARCH
120217641956650719,6 MARCH - Cargo Jogger Pants - 1.49 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-06T05:00:00+0000,5133,6 MARCH - Cargo Jogger Pants - 1.49 - SINGLE PRODUCT,False,True,,6 MARCH
120217641679050719,5 MARCH - Elegant Two-piece Pants and Cardigan Set - 1.56 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-05T05:00:00+0000,5133,5 MARCH - Elegant Two-piece Pants and Cardigan Set - 1.56 - SINGLE PRODUCT,False,True,,5 MARCH
120217641144630719,5 MARCH - Elegant 2 Piece Set - 1.57 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-05T05:00:00+0000,5133,5 MARCH - Elegant 2 Piece Set - 1.57 - SINGLE PRODUCT,False,True,,5 MARCH
120217640970320719,5 MARCH - Loose-Fitted Ruffle Dress - 1.59 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-05T05:00:00+0000,5133,5 MARCH - Loose-Fitted Ruffle Dress - 1.59 - SINGLE PRODUCT,False,True,,5 MARCH
120217640301400719,5 MARCH - Soft Wide Comfort Shoes - 1.58 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-05T05:00:00+0000,5133,5 MARCH - Soft Wide Comfort Shoes - 1.58 - SINGLE PRODUCT,False,True,,5 MARCH
120217635178840719,4 MARCH - Heartbeat Sweater and Pants Set - 1.62 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-04T05:00:00+0000,5133,4 MARCH - Heartbeat Sweater and Pants Set - 1.62 - SINGLE PRODUCT,False,True,,4 MARCH
120217634849560719,4 MARCH - Elegant Floral Dress - 1.46 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-04T05:00:00+0000,5133,4 MARCH - Elegant Floral Dress - 1.46 - SINGLE PRODUCT,False,True,,4 MARCH
120217598790730719,5 MARCH - Classic Corduroy Button-down Jacket - 1.64 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-05T05:00:00+0000,5133,5 MARCH - Classic Corduroy Button-down Jacket - 1.64 - SINGLE PRODUCT,False,True,,5 MARCH
120217594862960719,4 MARCH - Steel Toe Safety Shoes - 1.55 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-04T05:00:00+0000,5133,4 MARCH - Steel Toe Safety Shoes - 1.55 - SINGLE PRODUCT,False,True,,4 MARCH
120217594746710719,4 MARCH - Loose Casual Lounge Set - 1.57 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-04T05:00:00+0000,5133,4 MARCH - Loose Casual Lounge Set - 1.57 - SINGLE PRODUCT,False,True,,4 MARCH
120217594574690719,4 MARCH - Classic Two-button Blazer - 1.55 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-04T05:00:00+0000,5133,4 MARCH - Classic Two-button Blazer - 1.55 - SINGLE PRODUCT,False,True,,4 MARCH
120217574979610719,3 MARCH - Stylish Short-sleeved Polo Shirt - 1.66 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-03T05:00:00+0000,5133,3 MARCH - Stylish Short-sleeved Polo Shirt - 1.66 - SINGLE PRODUCT,False,True,,3 MARCH
120217574909660719,3 MARCH - Four-Striped Hooded Sweater - 1.59 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-03T05:00:00+0000,5133,3 MARCH - Four-Striped Hooded Sweater - 1.59 - SINGLE PRODUCT,False,True,,3 MARCH
120217574829270719,3 MARCH - Comfy Drawstring Trousers - 1.59 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-03T05:00:00+0000,5133,3 MARCH - Comfy Drawstring Trousers - 1.59 - SINGLE PRODUCT,False,True,,3 MARCH
120217574560980719,3 MARCH - Elegant Evening Dress with Floral Charm - 0.00 - SINGLE PRODUCT,OUTCOME_SALES,ACTIVE,2025-03-03T05:00:00+0000,3499,3 MARCH - Elegant Evening Dress with Floral Charm - 0.00 - SINGLE PRODUCT,False,True,,3 MARCH
120217574284050719,3 MARCH - Elegant and Refined Ruffled Shirt - 1.45 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-03T05:00:00+0000,5133,3 MARCH - Elegant and Refined Ruffled Shirt - 1.45 - SINGLE PRODUCT,False,True,,3 MARCH
