,Product Name,URL,Campaign Start,Campaign End,Attribution Revenue,Attribution Orders,Attribution Avg Price,Attribution COGS,Attribution Gross Profit,Attribution Net Profit,Attribution ROI (%),Attribution ROAS,Extended Revenue,Extended Orders,Total Revenue,Total Orders,Total Avg Price,Total COGS,Total Gross Profit,Total Net Profit,Total ROI (%),Total ROAS,Ad Spend,Impressions,Clicks,CTR (%),Conversion Rate (%),Attribution Window Revenue (%),Extended Window Revenue (%),CPA,Profit Margin (%),Total Profit Margin (%)
3 JANUARY - Elegant Cozy Cardigan - 1.45 - SINGLE PRODUCT,Elegant Cozy Cardigan,https://dd3662-08.myshopify.com/products/811654167083876352,2025-01-03 00:00:00+00:00,2025-01-10 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-46.81,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-46.81,-100.0,0.0,46.81,3306,189,5.716878402903811,0.0,0.0,0.0,,,
3 JANUARY - Pullover Hooded Sweater - 1.55 - SINGLE PRODUCT,Pullover Hooded Sweater,https://dd3662-08.myshopify.com/products/801107176633401344,2025-01-03 00:00:00+00:00,2025-01-10 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-39.81,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-39.81,-100.0,0.0,39.81,3477,65,1.8694276675294794,0.0,0.0,0.0,,,
3 JANUARY - Luxurious Glitter Knit Zip-up Sweater - 1.59 - SINGLE PRODUCT,Luxurious Glitter Knit Zip-up Sweater [No Sales Found],,2025-01-03 00:00:00+00:00,2025-01-10 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-42.73,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-42.73,-100.0,0.0,42.73,1576,162,10.279187817258883,0.0,0.0,0.0,,,
3 JANUARY - Classic Fur-lined Leather Jacket - 1.57 - SINGLE PRODUCT,Classic Fur-lined Leather Jacket,https://dd3662-08.myshopify.com/products/801107163022884864,2025-01-03 00:00:00+00:00,2025-01-10 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-42.25,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-42.25,-100.0,0.0,42.25,3498,74,2.115494568324757,0.0,0.0,0.0,,,
4 JANUARY -  Elegant Pleated Dress - 1.58 - SINGLE PRODUCT,Comfortable Elegant Pleated Dress,https://dd3662-08.myshopify.com/products/819597925712658432,2025-01-04 00:00:00+00:00,2025-01-11 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-26.07,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-26.07,-100.0,0.0,26.07,1401,54,3.854389721627409,0.0,0.0,0.0,,,
4 JANUARY - Balaclava Hooded Jacket - 1.68 - SINGLE PRODUCT,Balaclava Hooded Jacket [No Sales Found],,2025-01-04 00:00:00+00:00,2025-01-11 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-26.19,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-26.19,-100.0,0.0,26.19,3039,56,1.8427114182296807,0.0,0.0,0.0,,,
4 JANUARY - Stylish Quilted Winter Jacket  - 1.57- SINGLE PRODUCT,Stylish Quilted Winter Jacket [No Sales Found],,2025-01-04 00:00:00+00:00,2025-01-11 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-38.47,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-38.47,-100.0,0.0,38.47,1252,90,7.188498402555911,0.0,0.0,0.0,,,
4 JANUARY - Stylish Winter Boots  - 1.58 - SINGLE PRODUCT,Stylish Winter Boots,https://dd3662-08.myshopify.com/products/818915579950792704,2025-01-04 00:00:00+00:00,2025-01-11 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-26.64,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-26.64,-100.0,0.0,26.64,1722,67,3.8908246225319396,0.0,0.0,0.0,,,
4 JANUARY - Sporty Hooded Winter Jacket  - 1.48 - SINGLE PRODUCT,Sporty Hooded Winter Jacket [No Sales Found],,2025-01-04 00:00:00+00:00,2025-01-11 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-25.4,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-25.4,-100.0,0.0,25.4,2397,19,0.7926574885273258,0.0,0.0,0.0,,,
5 JANUARY - Glittery Long-Sleeved Fringe Dress - 1.53 - SINGLE PRODUCT,Glittery Long-Sleeved Fringe Dress [No Sales Found],,2025-01-05 00:00:00+00:00,2025-01-12 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-30.45,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-30.45,-100.0,0.0,30.45,2294,47,2.048823016564952,0.0,0.0,0.0,,,
5 JANUARY - Warm Down Jacket - 1.57 - SINGLE PRODUCT,Warm Down Jacket [No Sales Found],,2025-01-05 00:00:00+00:00,2025-01-12 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-51.55,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-51.55,-100.0,0.0,51.55,2939,124,4.21912215039129,0.0,0.0,0.0,,,
5 JANUARY - Stand Collar Quilted Winter Jacket - 1.57 - SINGLE PRODUCT,Stand Collar Quilted Winter Jacket,https://dd3662-08.myshopify.com/products/801492869842993152,2025-01-05 00:00:00+00:00,2025-01-12 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-28.97,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-28.97,-100.0,0.0,28.97,2365,56,2.367864693446089,0.0,0.0,0.0,,,
6 JANUARY - Soft Cashmere Zip-up Jacket - 1.57 - SINGLE PRODUCT,Soft Cashmere Zip-up Jacket,https://dd3662-08.myshopify.com/products/801492858103136256,2025-01-06 00:00:00+00:00,2025-01-13 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-41.09,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-41.09,-100.0,0.0,41.09,2310,108,4.675324675324675,0.0,0.0,0.0,,,
6 JANUARY - Stretchy High-waisted Wide Leg Pants - 1.54 - SINGLE PRODUCT,Stretchy High-waisted Wide Leg Pants [No Sales Found],,2025-01-06 00:00:00+00:00,2025-01-13 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-40.55,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-40.55,-100.0,0.0,40.55,1964,78,3.971486761710794,0.0,0.0,0.0,,,
6 JANUARY - Elegant Classic Plaid Print Dress - 1.50 - SINGLE PRODUCT,Elegant Classic Plaid Print Dress [No Sales Found],,2025-01-06 00:00:00+00:00,2025-01-13 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-37.42,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-37.42,-100.0,0.0,37.42,2424,60,2.4752475247524752,0.0,0.0,0.0,,,
7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION,Collection C05 - Not Found in Shopify,,2025-01-07 00:00:00+00:00,2025-01-14 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-54.23,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-54.23,-100.0,0.0,54.23,2518,100,3.971405877680699,0.0,0.0,0.0,,,
8 JANUARY - C06 ADS collection (Jan 4) - COLLECTION,Collection C06 - Not Found in Shopify,,2025-01-08 00:00:00+00:00,2025-01-15 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-59.21,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-59.21,-100.0,0.0,59.21,3909,110,2.8140189306728063,0.0,0.0,0.0,,,
"9 JANUARY - Timeless, Warm and Stylish Coat - 1.57 - SINGLE PRODUCT","Timeless, Warm and Stylish Coat",https://dd3662-08.myshopify.com/products/806207374757986304,2025-01-09 00:00:00+00:00,2025-01-16 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-21.7,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-21.7,-100.0,0.0,21.7,1169,33,2.8229255774165956,0.0,0.0,0.0,,,
9 JANUARY - Warm Knitted Comfy Sweater - 1.57 - SINGLE PRODUCT,Warm Knitted Comfy Sweater,https://dd3662-08.myshopify.com/products/806207426087878656,2025-01-09 00:00:00+00:00,2025-01-16 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-22.6,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-22.6,-100.0,0.0,22.6,952,19,1.9957983193277309,0.0,0.0,0.0,,,
9 JANUARY -  Dress with Long sleeve Top - 1.53 - SINGLE PRODUCT,Dress with Long Sleeve Top,https://dd3662-08.myshopify.com/products/806207436309397504,2025-01-09 00:00:00+00:00,2025-01-16 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-32.1,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-32.1,-100.0,0.0,32.1,3163,37,1.1697755295605439,0.0,0.0,0.0,,,
9 JANUARY - C07 ADS Collection (Jan 07) - COLLECTION,Collection C07 - Not Found in Shopify,,2025-01-09 00:00:00+00:00,2025-01-16 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-32.94,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-32.94,-100.0,0.0,32.94,997,47,4.714142427281845,0.0,0.0,0.0,,,
10 JANUARY - Elegant and Comfortable Dress - 1.54 - SINGLE PRODUCT,Elegant and Comfortable Dress,https://dd3662-08.myshopify.com/products/806626968605818880,2025-01-10 00:00:00+00:00,2025-01-17 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-44.49,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-44.49,-100.0,0.0,44.49,2242,47,2.096342551293488,0.0,0.0,0.0,,,
10 JANUARY - Windproof Wool Jacket - 1.57 - SINGLE PRODUCT,Windproof Wool Jacket,https://dd3662-08.myshopify.com/products/806626977787150336,2025-01-10 00:00:00+00:00,2025-01-17 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-46.62,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-46.62,-100.0,0.0,46.62,3255,101,3.1029185867895546,0.0,0.0,0.0,,,
